City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
203,nemuro,9,JP,1582915179,65,43.32,145.57,19.4,13.0
204,zeya,0,RU,1582915179,84,53.75,127.27,-1.34,2.55
205,saint-leu,20,RE,1582915179,78,-21.15,55.28,80.6,3.36
206,dzhebariki-khaya,9,RU,1582915179,99,62.22,135.8,-19.84,1.16
207,bredasdorp,95,ZA,1582915179,59,-34.53,20.04,66.2,16.11
208,west wendover,1,US,1582915068,55,40.74,-114.07,39.2,5.82
209,kutum,0,SD,1582915179,20,14.2,24.67,75.07,12.24
210,filingue,0,NE,1582915180,12,14.35,3.32,82.85,4.61
211,misratah,0,LY,1582915076,74,32.38,15.09,62.47,11.88
212,saint anthony,1,US,1582915158,37,45.02,-93.22,26.01,4.7
213,flinders,90,AU,1582915180,82,-34.58,150.86,66.99,4.54
214,kozan,75,TR,1582915180,93,37.46,35.82,57.2,2.55
215,nikolskoye,90,RU,1582915180,86,59.7,30.79,26.6,13.42
216,mecca,0,SA,1582914955,56,21.43,39.83,75.69,3.51
217,griffith,75,US,1582915180,58,41.53,-87.42,28.99,7.72
218,kem,100,RU,1582915180,87,64.96,34.58,21.85,9.33
219,kamenka,100,RU,1582915180,91,51.32,42.77,35.01,8.01
220,den helder,90,NL,1582915180,93,52.96,4.76,37.99,25.28
221,khatanga,0,RU,1582915180,87,71.97,102.5,-8.5,4.68
222,celestun,90,MX,1582915180,69,20.87,-90.4,69.12,17.22
223,lujan,3,AR,1582915180,52,-34.57,-59.1,93.0,10.29
224,cowra,11,AU,1582915180,86,-33.83,148.68,54.0,1.99
225,moussoro,0,TD,1582915180,12,13.64,16.49,87.28,10.29
226,clyde,90,US,1582915180,58,41.3,-82.98,28.0,20.8
227,itarema,83,BR,1582915180,72,-2.92,-39.92,84.78,8.59
228,gladstone,0,AU,1582915180,83,-23.85,151.25,75.2,3.36
229,evansville,90,US,1582915180,41,37.97,-87.56,46.4,8.05
230,marzuq,0,YE,1582915180,68,14.4,46.47,65.79,4.05
231,clyde river,20,CA,1582915181,67,70.47,-68.59,-23.8,4.7
232,bata,93,GQ,1582915181,87,1.86,9.77,77.68,3.53
233,sol-iletsk,100,RU,1582915181,81,51.16,54.99,32.34,15.61
234,quatre cocos,40,MU,1582915181,94,-20.21,57.76,77.0,4.7
235,port pirie,24,AU,1582915182,82,-33.18,138.02,64.4,5.82
236,narsaq,5,GL,1582915182,33,60.92,-46.05,15.8,0.81
237,juneau,90,US,1582914904,93,58.3,-134.42,37.4,8.05
238,bourail,97,NC,1582915182,90,-21.57,165.48,74.07,3.74
239,escarcega,79,MX,1582915182,46,18.61,-90.75,76.41,2.55
240,sorong,100,ID,1582915182,99,-0.88,131.25,72.97,2.13
241,vinh long,18,VN,1582914993,94,10.25,105.97,75.2,2.24
242,chiang mai,40,TH,1582915182,60,18.79,98.98,78.01,1.25
243,pandan,51,PH,1582915182,72,14.05,124.17,78.08,10.69
244,sidi ali,18,DZ,1582915182,43,36.1,0.42,59.04,4.23
245,katete,100,UG,1582915182,90,-0.78,29.75,61.16,1.68
246,bilibino,100,RU,1582915182,100,68.05,166.44,-10.37,3.67
247,tingi,100,TZ,1582915182,82,-11.3,35.03,69.19,1.41
248,lewisporte,90,CA,1582915182,92,49.25,-55.05,30.99,18.34
249,skibbereen,90,IE,1582915182,100,51.55,-9.27,50.0,14.99
250,saint-philippe,20,RE,1582915182,78,-21.36,55.77,80.6,3.36
251,bambanglipuro,94,ID,1582915182,88,-7.95,110.28,76.5,3.24
252,nouakchott,3,MR,1582915046,5,18.09,-15.98,95.0,11.41
253,chokurdakh,100,RU,1582915183,85,70.63,147.92,14.38,12.64
254,launceston,17,AU,1582915183,81,-41.45,147.17,55.99,11.41
255,nizwa,0,OM,1582915183,39,22.93,57.53,67.75,1.07
256,nara,99,JP,1582915183,70,34.69,135.8,46.4,4.7
257,constantine,0,DZ,1582914923,47,36.37,6.61,57.2,4.47
